Libros,Genero
Kicked in the Head,Comedy|Drama
Port of Shadows (Quai des brumes),Drama
Ash Wednesday,Crime|Drama
How Tasty Was My Little Frenchman (Como Era Gostoso o Meu Francês),Comedy|Drama
McCullin,Documentary
"Wheel, The (La Roue)",Drama
Foul Play,Comedy|Thriller
Seed,Horror
loudQUIETloud: A Film About the Pixies,Documentary
Crush,Comedy|Romance
"Chase, The",Action|Adventure|Comedy|Crime|Romance|Thriller
Brideshead Revisited,Drama
First a Girl,Comedy|Musical
"Russell Peters: Red, White and Brown",Comedy|Documentary
"Lost City, The",Drama
"Hitcher, The",Action|Thriller
"Year of Living Vicariously, The",Documentary
Bloody Murder 2: Closing Camp,Drama|Horror|Mystery|Thriller
Touch the Top of the World,Drama
Machine Gun Preacher,Action|Crime
The Fountain,Comedy
Thrill Ride: The Science of Fun,Adventure|Documentary|IMAX
Bus Stop,Comedy
F/X,Action|Crime|Thriller
"Court Jester, The",Adventure|Comedy|Musical
Tears of the Sun,Action|Drama|Thriller
Call Me Bwana,Comedy
Housebound,Comedy|Horror|Thriller
Diverted,Drama
Lovers & Leavers (Kuutamolla),Drama|Romance
If You Love (Jos rakastat),Drama|Musical|Romance
Jesus of Montreal (Jésus de Montréal),Drama
Ice Princess,Children|Comedy|Drama
"Shadow Riders, The",Romance|Western
"Family, The (Famiglia, La)",Drama|Musical|Romance
The Fuller Brush Girl,Comedy
Staten Island,Crime|Drama
D.E.B.S.,Action|Comedy
Stolen,Action|Crime|Thriller
If a Tree Falls: A Story of the Earth Liberation Front,Documentary
Doubt,Drama|Mystery
"Dancer Upstairs, The",Crime|Drama|Thriller
The Next Voice You Hear....,Drama
Ellie Parker,Comedy|Drama
Our Man Flint,Adventure|Comedy|Sci-Fi
Journey to the Far Side of the Sun (a.k.a. Doppelgänger),Fantasy|Mystery|Sci-Fi|Thriller
Talhotblond:,Documentary|Thriller
God Bless America,Comedy|Drama
Blood on the Moon,Action|Drama|Western
Four Sahibjade,Animation
"Match, The",Comedy|Romance
"Holy Mountain, The (Montaña sagrada, La)",Drama
Eight Crazy Nights (Adam Sandler's Eight Crazy Nights),Animation|Comedy|Musical
"Woman of Paris, A",Drama
Summer and Smoke,Drama|Romance
To.get.her,Drama|Mystery|Thriller
Times and Winds (Bes vakit),Drama
"Shaggy D.A., The",Children|Comedy
Android,Sci-Fi
"Seventh Continent, The (Der siebente Kontinent)",Drama
Reign of Assassins,Action
Old Gringo,Drama
How I Live Now,Action|Drama|Thriller
Garage Days,Comedy|Musical
Dealer,Drama
2001 Maniacs,Comedy|Horror
Bounce,Drama|Romance
"Son of No One, The",Action|Crime|Thriller
Kwaidan (Kaidan),Horror
They Call Me Mister Tibbs!,Crime|Drama|Mystery
Cabiria,Adventure|Drama|War
Dungeons & Dragons,Adventure|Fantasy
Three Men and a Baby,Comedy
Sue,Drama
Happy Feet Two,Animation|Children|Comedy|IMAX
Reel Injun,Documentary
State of Play,Crime|Drama|Mystery
"Crush, The (La cotta)",Romance
Captain Phillips,Adventure|Drama|Thriller|IMAX
"Mickey, Donald, Goofy: The Three Musketeers",Adventure|Animation|Children|Comedy
Hardcover,Comedy
Blue Crush,Adventure|Drama|Romance
"Passion of the Christ, The",Drama
"Bells of St. Mary's, The",Drama
"Sheltering Sky, The",Drama
Just Write,Comedy
Furry Vengeance,Children|Comedy
Lonesome Dove,Adventure|Drama|Western
"Inheritance, The (Arven)",Drama
"Good Morning, Babylon",Drama
Last Run,Action|Crime|Thriller
"Ugly Duckling and Me!, The",Animation|Comedy
"Rage in Placid Lake, The",Comedy
Smile,Drama
"Hottest State, The",Drama
Camille,Drama|Romance
Lady Death,Action|Animation|Horror
Missionary,Drama|Thriller
Ethel,Documentary
Zapped!,Comedy|Sci-Fi
Weirdsville,Comedy|Crime|Drama
Killer Force,Action|Thriller
Booty Call,Comedy|Romance
Waterloo,Action|Drama|War
Cutie Honey,Action
"Young and the Damned, The (Olvidados, Los)",Crime|Drama
Fear Clinic,Horror
Maria's Lovers,Drama|Romance
"Experiment, The",Drama|Thriller
Mystery Men,Action|Comedy|Fantasy
The Pumaman,Action|Adventure|Fantasy|Sci-Fi
Defenseless,Thriller
Cannery Row,Drama
Sky High,Action|Adventure|Children|Comedy
Broadway Damage,Comedy
HealtH,Comedy
Gun Woman,Action|Thriller
Presto,Animation|Children|Comedy|Fantasy
Atlas Shrugged: Who Is John Galt? (Atlas Shrugged: Part III),Drama|Mystery|Sci-Fi
Call Girl,Drama|Thriller
The Magic Box,Drama
Prisoners of the Lost Universe,Action|Adventure|Sci-Fi
Dream House,Drama|Mystery|Thriller
Sitcom,Comedy|Drama|Thriller
Sex & the Other Man,Comedy|Drama
Tyler Perry's Madea's Witness Protection,Comedy
Clouds of May (Mayis sikintisi),Drama
Symphony of the Soil,Adventure|Documentary
Intervista,Comedy|Drama
"Linguini Incident, The",Comedy|Crime
Alaska,Adventure|Children
Train,Horror|Thriller
Angel,Drama
Sudden Impact,Crime|Thriller
Marvin Gaye: What's Going On,Documentary
Assassin(s),Crime|Drama
Iran Is Not the Problem,Documentary
Gunless,Action|Comedy|Drama|Western
Living on One Dollar,Adventure|Documentary|Drama
Waiting Room (Bekleme odasi),Drama
Roadie,Comedy|Musical
CJ7 (Cheung Gong 7 hou),Children|Comedy|Sci-Fi
Camp Rock,Comedy|Musical|Romance
Joe Dirt,Adventure|Comedy|Mystery|Romance
Taxi Blues,Drama
Camp,Comedy|Musical
Chisum,Western
"TV Set, The",Comedy|Drama
"Crawling Eye, The (a.k.a. Trollenberg Terror, The)",Horror|Sci-Fi
"North and South, Book II",Drama|Romance|War
Hurt,Drama|Horror|Thriller
"Children Are Watching Us, The (Bambini ci guardano, I)",Drama
Ten Minutes Older,(no genres listed)
The Overnight,Comedy
Sweet Land,Drama|Romance
Innocence,Drama|Fantasy|Mystery
Stopped on Track,Drama
The Spectacular Now,Comedy|Drama|Romance
"Chapman Report, The",Comedy|Drama|Romance
Zatoichi,Action|Drama
"Land Before Time, The",Adventure|Animation|Children|Fantasy
"Consequences of Love, The (Conseguenze dell'amore, Le)",Crime|Drama
R100,Comedy|Drama
Iron Eagle IV,Action|War
Hatchet,Comedy|Horror
Rally On! (Ralliraita),Comedy
Kein Bund für's Leben,Comedy
Private Hell 36,Crime|Drama|Film-Noir
Heartless,Fantasy|Horror|Mystery|Thriller
"3 Worlds of Gulliver, The",Adventure|Fantasy
"Crush, The (La cotta)",Romance
Mambo Italiano,Comedy
Father Takes a Wife,Comedy|Romance
The Great Alligator,Horror
Harvest (Stadt Land Fluss),Drama|Romance
"Crystal Ball, The",Comedy
If You Only Knew,Comedy|Romance
"Unfinished Life, An",Drama
Storm Catcher,Action|Thriller
Mulan,Adventure|Animation|Children|Comedy|Drama|Musical|Romance
Swamp Shark,Sci-Fi
Reasonable Doubt,Crime|Thriller
"Amati Girls, The",Drama
Luther,Drama
Stark Raving Mad,Action|Comedy|Crime
Noah's Ark,Drama|War
"Bothersome Man, The (Brysomme mannen, Den)",Comedy|Drama|Fantasy|Mystery
"Passion of Anna, The (Passion, En)",Drama
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Action|Adventure
Kart Racer,Drama
"Spy in Black, The",Thriller|War
Casualties of War,Drama|War
Jackpot 2,Sci-Fi
"Iceman Tapes: Conversations with a Killer, The",Crime|Documentary
Act of Violence,Drama|Film-Noir|Thriller
Pee-wee's Big Adventure,Adventure|Comedy
"Alphabet Killer, The",Crime
"Thing with Two Heads, The",Comedy|Horror|Sci-Fi
Pee-wee's Big Adventure,Adventure|Comedy
Super Troopers,Comedy|Crime|Mystery
Restless (Uro),Action|Crime|Thriller
Jack and the Beanstalk,Children|Comedy|Fantasy
Woochi: The Demon Slayer,Action|Comedy|Fantasy
That's Entertainment,Documentary
First Man Into Space,Drama|Horror|Sci-Fi
War of the Shaolin Temple (Shao Lin shi san gun seng),Action|Adventure|War
The Anderssons in Greece: All Inclusive,Children|Comedy
Zach Galifianakis: Live at the Purple Onion,Comedy|Documentary
Do We Really Need the Moon?,Documentary
"Descent: Part 2, The",Adventure|Horror|Thriller
Soul Kitchen,Comedy
Live!,Comedy|Drama
HOUBA! On the Trail of the Marsupilami (Sur la piste du Marsupilami),Adventure|Children|Comedy|IMAX
Piranha,Horror|Sci-Fi
"Sorcerer's Apprentice, The",Action|Adventure|Children|Comedy|Fantasy
Syrup,Comedy|Drama
Spies Like Us,Comedy
Tinker Tailor Soldier Spy,Drama|Film-Noir|Thriller
True Romance,Crime|Thriller
McKenna Shoots for the Stars,Children|Drama
Paying the Price: Killing the Children of Iraq,Documentary
Equinox,Drama|Mystery|Thriller
Life Partners,Comedy|Romance
Just Write,Comedy
Private Detective 62,Comedy|Crime|Drama
Shadows (Cienie),Drama
Vicky Donor,Comedy|Romance
No Mercy (Yongseoneun Eupda),Thriller
Thunderpants,Children|Comedy|Sci-Fi
Godzilla and Mothra: The Battle for Earth (Gojira vs. Mosura),Action|Sci-Fi
Bravo Two Zero ,Adventure|Thriller|War
Joy Division,Documentary|Musical
Meet the Parents,Comedy
Hallelujah!,Drama|Musical
"Barbarian Invasions, The (Les invasions barbares)",Comedy|Crime|Drama|Mystery|Romance
Texas Chainsaw 3D,Horror|Mystery|Thriller
"Home of Dark Butterflies, The (Tummien perhosten koti)",Drama
Girl Walks Into a Bar,Comedy|Drama|Fantasy
Bullet,Action|Crime|Drama
Mr. Robinson Crusoe,Adventure|Comedy
Om Shanti Om,Action|Drama|Musical|Romance
Pauline at the Beach (Pauline à la Plage),Comedy|Drama|Romance
Landscape with a Woman (Zena s krajolikom),Drama
"Island of Dr. Moreau, The",Sci-Fi|Thriller
"Cost of Living, The (Le coût de la vie)",Comedy
Kiss Me Kate,Comedy|Musical|Romance
Memoirs of a Geisha,Drama|Romance
"Station, The (Blutgletscher)",Horror
"Crew, The",Action|Crime|Drama|Thriller
According to Greta,Drama|Romance
Battle of Los Angeles,Action|Sci-Fi
Voices of Iraq,Documentary
Paper Clips,Documentary
Corman's World: Exploits of a Hollywood Rebel,Documentary
Hour of the Gun,Western
Girl Model,Documentary
Lakota Woman: Siege at Wounded Knee,Drama
The Appointments of Dennis Jennings,Comedy
Danger: Diabolik (Diabolik),Action|Crime|Thriller
CQ,Drama
Down by Law,Comedy|Drama|Film-Noir
Babylon 5,Sci-Fi
Scars of Dracula,Horror
Barricade,Horror|Thriller
Cotton Mary,Drama
"Atomic Submarine, The",Sci-Fi|Thriller
"Sleeping Dictionary, The",Drama|Romance
"Prince of Central Park, The",Action|Adventure|Drama
Street People,Action|Thriller
Eat,Documentary
Heavy Metal in Baghdad,Documentary|Musical|War
"11'09""01 - September 11",Drama
"Hello, Friend",Comedy|Horror
"Chair, The",Drama|Horror|Thriller
"Recruit, The",Action|Thriller
"Dark Angel, The",Drama|Romance
High Sierra,Crime|Drama|Film-Noir|Thriller
Swimming with Sharks,Comedy|Drama
Bandit Queen,Drama
Kukuli,Drama
"Absent-Minded Professor, The",Children|Comedy|Fantasy
"Trial of Joan of Arc, The (Procès de Jeanne d'Arc)",Drama|War
"I Love You, Beth Cooper",Comedy|Romance
Belarmino,Documentary|Drama
Guter Junge,Drama
Criss Cross,Crime|Drama|Film-Noir
"Love Song for Bobby Long, A",Drama
Death of a Salesman,Drama
Mindhunters,Action|Crime|Horror|Mystery|Thriller
"Bird of the Air, A (Loop, The)",Drama|Romance
Patton Oswalt: Finest Hour,Comedy
Fun with Dick and Jane,Comedy
War Made Easy: How Presidents & Pundits Keep Spinning Us to Death,Documentary|War
Paths of Hate,Action|Animation|Drama|War
Trailer Park Boys: Live at the North Pole,Comedy
Shadows in Paradise (Varjoja paratiisissa),Comedy|Romance
Under Fire,Drama|Thriller|War
Distant (Uzak),Drama
Murder at 1600,Crime|Drama|Mystery|Thriller
Sand Sharks,Comedy|Horror|Sci-Fi|Thriller
Intimate Enemies (L'ennemi intime),Drama|War
"Flintstone Kids' Just Say No Special, The",Animation|Children
Triangle (Tie saam gok),Action
She's Out of Control,Comedy
"Harvey Girls, The",Comedy|Musical|Western
The Sign of Four: Sherlock Holmes' Greatest Case,Mystery
"Replacement Killers, The",Action|Crime|Thriller
Midnight Lace,Mystery|Thriller
Abraham's Valley (Vale Abraão),Drama
Inglorious Bastards (Quel maledetto treno blindato),Action|Adventure|Drama|War
Crazy Stone (Fengkuang de shitou),Comedy|Crime
Grand Canyon,Crime|Drama
Colt Comrades,Western
The Princess of Egypt,Drama
Videodrome,Fantasy|Horror|Sci-Fi|Thriller
Rails & Ties,Drama
Of Human Bondage,Drama
Mad Monster Party?,Children|Comedy|Horror
Meatballs Part II,Comedy
"Ambulance, The",Thriller
Way... Way Out,Comedy|Sci-Fi
Shakthi: The Power,Action|Drama
Chicago Massacre: Richard Speck,Crime|Drama|Thriller
Bank Error in Your Favour (Erreur de la banque en votre faveur),Comedy
Kahlekuningas,Comedy|Drama
Karlsson Brothers (Bröderna Karlsson),Comedy|Drama
"Musketeers of Pig Alley, The",Crime|Drama
Inglorious Bastards (Quel maledetto treno blindato),Action|Adventure|Drama|War
Island of Lost Souls,Adventure|Horror|Romance|Sci-Fi
Captain America,Action|Fantasy|Sci-Fi|Thriller|War
"Last of Sheila, The",Crime|Mystery|Thriller
"Dawn Patrol, The (Flight Commander)",Action|Drama|War
Mirage,Action|Thriller
"Unholy Rollers, The",Action|Comedy|Drama
With Honors,Comedy|Drama
Zeitgeist: Moving Forward,Documentary
"Garage, The",Comedy
Bat*21,Drama|War
Stavisky...,Crime|Drama
Tennessee,Drama
"Hidden, The",Action|Horror|Sci-Fi
Macbeth,Drama
"Santa Clause, The",Comedy|Drama|Fantasy
Bianca Beauchamp: All Access,Documentary
"Pont du Nord, Le",Comedy|Fantasy|Mystery
True Heart Susie,Drama|Romance
Playing by Heart,Drama|Romance
October Baby,Drama
Love's Kitchen,Comedy|Drama|Romance
Jungle de Ikou (Jungre de Ikou),Action|Comedy|Fantasy
Shadow Magic,Drama|Romance
"Big Doll House, The",Action
Bad Ronald,Drama|Horror|Thriller
Tell No One (Ne le dis à personne),Crime|Drama|Mystery|Thriller
Prime Suspect 7: The Final Act,Crime|Drama|Mystery|Thriller
Bionicle 2: Legends of Metru Nui,Action|Adventure|Animation|Children|Fantasy
Running Scared,Action|Crime|Thriller
Reversal of Fortune,Drama
30 Years to Life,Comedy|Drama|Romance
"Wedding, A",Comedy|Drama
Pete's Dragon,Adventure|Animation|Children|Musical
Chasing Ice,Documentary
Evita,Drama|Musical
"True Story of Jesse James, The",Action|Crime|Western
"Rain People, The",Drama
Peeping Tom,Drama|Horror|Thriller
Voyager (Homo Faber),Drama
Tinker Bell and the Lost Treasure,Adventure|Animation|Children|Fantasy
Balseros (Cuban Rafters),Documentary
"Sleeping Dictionary, The",Drama|Romance
"Passenger, The (Professione: reporter)",Drama
"Frozen North, The",Comedy
Shaun of the Dead,Comedy|Horror
Taking Care of Business,Comedy
I Wish (Kiseki),Children|Drama
Stand Up Guys,Comedy|Crime
Closure,Documentary
Ed Hardy: Tattoo the World ,Documentary
Lady Liberty,Comedy
Urbania,Drama
Emil i Lönneberga,Children|Drama
When Trumpets Fade,Drama|War
American Hardcore,Documentary
Lemony Snicket's A Series of Unfortunate Events,Adventure|Children|Comedy|Fantasy
Drumline,Comedy|Drama|Musical|Romance
The Strange Affair,Crime|Drama
Countdown to Zero,Documentary
"Pillars of the Earth, The",Drama|Romance|Thriller
"Old Lady and the Pigeons, The (La vieille dame et les pigeons)",Animation|Comedy
Pontypool,Horror|Thriller
Piccadilly,Crime|Drama
"Rumble in the Air-Conditioned Auditorium: O'Reilly vs. Stewart 2012, The",Comedy
Bells of Innocence,Horror
Swimming Pool,Drama|Mystery|Thriller
In the Name of the Law,Drama
White Night (Hvid nat),Drama
Get Out of My Room,Comedy
Babar The Movie,Adventure|Animation|Children|Fantasy
"Flaying, The (El Bosque de los Sometidos)",Fantasy|Horror|Thriller
Heir to an Execution,Documentary
Dredd,Action|Sci-Fi
"Cannonball Run, The",Action|Comedy
Follow the Fleet,Comedy|Musical|Romance
Prelude to a Kiss,Comedy|Drama|Romance
To Have and Have Not,Adventure|Drama|Romance|Thriller|War
Madagascar,Adventure|Animation|Children|Comedy
Pitkä kuuma kesä,Comedy|Drama
Sex Tape,Comedy
Carriers,Drama|Horror|Thriller
Magic in the Moonlight,Comedy|Drama|Romance
Jamie Marks Is Dead,Drama|Thriller
In Gold We Trust (600 kilos d'or pur),Adventure
Priest,Drama
Juice,Action|Crime|Drama|Thriller
Stealing Beauty,Drama
The Mummy's Shroud,Horror
Law of the Lawless (Brigada),Crime
Jack the Giant Killer,Action|Fantasy
"Django the Bastard (Strangers Gundown, The) (Django il bastardo)",Action|Thriller|Western
What Alice Found,Crime|Drama
"Trio, The (Trio, Das)",Drama|Romance
De nieuwe Wildernis,Documentary
Firefox,Action|Sci-Fi|Thriller
From the Life of the Marionettes (Aus dem Leben der Marionetten) ,Drama
Modify ,Documentary
I Was a Male War Bride,Comedy|Romance
Farewell to Matyora,Drama
Big Top Pee-Wee,Adventure|Children|Comedy
"Colour of Magic, The (Terry Pratchett's The Colour of Magic)",Adventure|Comedy|Fantasy
"Rain People, The",Drama
"Long Weekend, The",Comedy
Youth Without Youth,Drama|Romance|Sci-Fi
The Girl in a Swing,Drama|Romance
"Color of Pomegranates, The (Sayat Nova)",Drama
Youth of the Beast (Yaju no seishun),Action|Crime|Mystery
Out Cold,Comedy|Thriller
99 Homes,Drama
Lord of War,Action|Crime|Drama|Thriller|War
Sleepaway Camp,Horror
Star Trek: First Contact,Action|Adventure|Sci-Fi|Thriller
Living Will...,Comedy
Tex,Drama
"James Dean Story, The",Documentary
Johnny Skidmarks,Crime|Drama|Mystery|Thriller
Mr. Magoo,Comedy
A Pigeon Sat on a Branch Reflecting on Existence,Comedy|Drama
And Nobody Weeps for Me (Und keiner weint mir nach),Drama|Romance
Paycheck,Action|Sci-Fi|Thriller
Get Him to the Greek,Comedy
Barefoot (Barfuss),Comedy|Drama|Romance
"Brady Bunch Movie, The",Comedy
Miracle Run,Drama
Kocken,(no genres listed)
To Live and Die in L.A.,Action|Crime|Drama|Thriller
Empire of the Wolves (L'empire des loups),Action|Drama|Thriller
Final Destination,Drama|Thriller
Kleines Arschloch - Der Film,Animation|Comedy
The Passerby,Drama
Eddie Izzard: Dress to Kill,Comedy
"King of Ping Pong, The (Ping-pongkingen)",Drama
"Horse Soldiers, The",Adventure|War|Western
Baby Boy,Crime|Drama
The Young Savages,Crime|Drama
Tibet: Cry of the Snow Lion,Documentary
Bruna Surfistinha,Drama
Easy A,Comedy|Romance
Khodorkovsky,Documentary|Drama
"Monster Squad, The",Adventure|Comedy|Horror
Jerusalem,Drama
Extraterrestrial,Horror|Sci-Fi
Gigi,Comedy
"Great Waldo Pepper, The",Drama|Romance
Islands in the Stream,Drama
Zeder,Horror
Hellbound?,Documentary
Mother India,Drama|Musical
Blast from the Past,Comedy|Romance
Stealing Rembrandt (Rembrandt),Action|Comedy|Crime
Videocracy (Videocracy - Basta apparire),Documentary
"Locusts, The",Drama
Harry and the Hendersons,Children|Comedy
Dumbo,Animation|Children|Drama|Musical
Gold Diggers: The Secret of Bear Mountain,Adventure|Children
Yes: 9012 Live,Documentary|Musical
"Niagara, Niagara",Drama
"Collection, The",Action|Horror|Thriller
"Man Called Sledge, A",Western
High Sierra,Crime|Drama|Film-Noir|Thriller
Blue Hawaii,Comedy|Musical
"Lebanon, Pa.",Drama
Ghoulies,Horror
Return of the Living Dead Part II,Comedy|Horror
"Border, The",Drama
Crossroads,Drama
Plaza Suite,Comedy
Mobsters,Crime|Drama
Cousinhood (Primos),Comedy
Mutual Appreciation,Comedy|Drama
"Boys of St. Vincent, The",Drama
Death Ship,Horror
"Joy Luck Club, The",Drama|Romance
The Last Wagon,Action|Adventure|Drama|Western
The Jackie Robinson Story,Children|Drama
Wild Seven,Crime|Drama
Lockdown,Drama
Boy Meets Girl,Comedy|Drama|Romance
All or Nothing,Drama
Which Way to the Front?,Comedy|War
Dark Forces (Harlequin),Drama|Fantasy|Mystery
Dirty Filthy Love,Drama|Romance
"My Son, My Son, What Have Ye Done",Drama|Horror
Sex Drive,Comedy
Always for Pleasure,(no genres listed)
"Golden Compass, The",Adventure|Children|Fantasy
Man in the Middle,Drama|War
Cinderella,Animation|Children|Fantasy|Musical|Romance
Escobar: Paradise Lost,Romance|Thriller
Extreme Prejudice,Action
Bakhita,Drama
Steamboat Willie,Animation|Children|Comedy|Musical
Two Girls and a Sailor,Comedy|Musical|Romance
"Season for Miracles, A",Children|Romance
"Cold Light of Day, The",Drama|Thriller
"Four Feathers, The",Adventure|War
Cop Land,Action|Crime|Drama|Thriller
Sundome,Comedy|Drama|Romance
It's in the Water,Comedy
Monsters vs. Aliens,Animation|Sci-Fi|IMAX
Foreign Correspondent,Drama|Film-Noir|Mystery|Thriller
Scooby-Doo! The Mystery Begins,Comedy|Fantasy|Mystery
"Happening, The",Drama|Sci-Fi|Thriller
"Early Years: Erik Nietzsche Part 1, The (De unge år: Erik Nietzsche)",Comedy|Drama
"Return of the Magnificent Seven, The (a.k.a. Return of the Seven)",Western
"Triumph of the Nerds, The: The Rise of Accidental Empires",Documentary
RocketMan (a.k.a. Rocket Man),Children|Comedy|Romance|Sci-Fi
"Blind Side, The",Drama
With a Song in My Heart,Drama|Musical
Thomasine & Bushrod,Action|Crime|Western
Doubt,Drama|Mystery
"Battery, The",Drama|Horror
Roman,Drama|Thriller
Cold Sweat (De la part des copains),Action|Drama|Thriller
Copycat,Crime|Drama|Horror|Mystery|Thriller
Someone Like You,Comedy|Romance
Lincz,Drama|Thriller
Me and Him (Ich und Er),Comedy
Experimenter,Drama
Fire Over England,Adventure|Romance|War
Amen,Drama|Musical
Chronos,Documentary|IMAX
"Atomic States of America, The",Documentary
Come Early Morning,Drama|Romance
FDR: American Badass!,Action|Comedy
"Ring Finger, The (L'annulaire)",Drama
Wristcutters: A Love Story,Drama|Fantasy|Romance
Godzilla vs. Mechagodzilla (Gojira tai Mekagojira),Action|Horror|Sci-Fi
Ignition,Action|Drama
"Tango Lesson, The",Romance
Anne Frank Remembered,Documentary
"Rock-afire Explosion, The",Documentary
Sylvia and the Ghost,Comedy|Fantasy|Romance
Smart Money,Crime|Drama
"Cheap Detective, The",Comedy
Frankenstein Unbound,Drama|Horror|Sci-Fi
"Accidental Tourist, The",Comedy|Drama|Romance
"Great White Hope, The",Action|Drama
Across the Tracks,Drama
"Stranger, The",Action
Aaja Nachle,Comedy|Musical|Romance
Hairspray,Comedy|Drama|Musical
King of the Ants,Crime|Horror
Bye Bye Monkey (Ciao maschio),Comedy|Drama|Fantasy
Penny Dreadful,Horror|Thriller
Under the Domim Tree (Etz Hadomim Tafus),Drama
Son of God,Drama
Ouija,Horror
"Last Days, The (Últimos días, Los)",Adventure|Sci-Fi|Thriller
Bruiser,Horror|Thriller
Starman,Adventure|Drama|Romance|Sci-Fi
Calling Dr. Gillespie,Crime|Drama|Thriller
Dirty Dancing: Havana Nights,Romance
Louis C.K.: Chewed Up,Comedy
"Message from Akira Kurosawa: For Beautiful Movies, A (Kurosawa Akira kara no messêji: Utsukushii eiga o)",Documentary
Bandits (Bandidos),Action|Adventure|War
The Very Thought of You,Drama|Romance
Al otro lado,Drama
Smart People,Comedy|Drama|Romance
Farmageddon,Documentary
Trust Me,Comedy|Drama
Return of the Fly,Horror|Sci-Fi
Riding Alone for Thousands of Miles (Qian li zou dan qi),Drama
Bully,Crime|Drama|Thriller
Seven Ways from Sundown,Action|Adventure|Western
Nightmare,Horror|Mystery|Thriller
Resurrection Man,Drama|Thriller
No Time for Love,Comedy|Romance
"Quiet Man, The",Drama|Romance
Flyboys,Action|Adventure|Drama|War
"Big Chill, The",Comedy|Drama
Romance,Drama|Romance
To Get to Heaven First You Have to Die (Bihisht faqat baroi murdagon),Drama
Reunion in France,Drama|Romance|War
24 Exposures,Crime|Drama|Thriller
Wild at Heart,Crime|Drama|Mystery|Romance|Thriller
Wanted,Action|Romance
"Myth of Fingerprints, The",Comedy|Drama
Torch Song,Drama|Romance
Countdown,Sci-Fi|Thriller
Louise-Michel,Comedy
Ruby in Paradise,Drama
"Two Jakes, The",Drama
Confidential Report,Crime|Drama|Mystery|Thriller
"Human Factor, The",Drama|Thriller
"Wind That Shakes the Barley, The",Drama|War
"Goddess, The (Shen nu)",Drama
Shake Hands with the Devil,Drama|War
Transcendent Man,Documentary
Corpo Celeste,Drama
Squirm,Horror|Romance
